Features,Sensitivity,Specificity,MCC,AUC
001001110000,0.660995503125165,0.68348951302181,0.3377969273989323,0.6958044444444442
001001110001,0.6674763747273521,0.6870797902000682,0.3479399830537785,0.6938074074074074
001001110010,0.6220182730084668,0.6613908428838642,0.2781949321324736,0.673042962962963
001001110011,0.6481541409959367,0.6826835356449769,0.3262499668449962,0.6838488888888888
001001110100,0.6267932435667778,0.6939636615281823,0.318556012818849,0.722065185185185
001001110101,0.6678827649671432,0.7042274533818523,0.3683090666860707,0.7261481481481483
001001110110,0.6935340415950232,0.6874359192751542,0.3685532399972223,0.7357214814814816
001001110111,0.736734005925452,0.6984269868312797,0.41540139343621546,0.7440325925925925
001001111000,0.6678765733493363,0.6905300407786211,0.3524300352105789,0.6831540740740742
001001111001,0.6719730311877505,0.6941284278077036,0.3598444212364371,0.680471111111111
001001111010,0.6501434042490278,0.6772794524952116,0.3213846943340159,0.6781718518518521
001001111011,0.6487312924571359,0.687968643447924,0.33306443012376946,0.6860414814814816
001001111100,0.6673330837639447,0.6918738760266138,0.3529004722268938,0.709082962962963
001001111101,0.651622473049343,0.6935524884497944,0.3416493026637969,0.7062962962962963
001001111110,0.6736393736351904,0.686487137864547,0.3502204784636328,0.7152666666666666
001001111111,0.6865303579874916,0.6897586661861864,0.3639358324291075,0.7181214814814816
001010000000,0.5489057705784827,0.6231202737277889,0.17099708859908905,0.5722296296296295
001010000001,0.5700799899740173,0.6573671767053765,0.22785576992510856,0.5915214814814815
001010000010,0.5174183576833893,0.6067930821556181,0.12340296469362318,0.5562118518518518
001010000011,0.5299597088938335,0.6246908680030365,0.15438761770753776,0.5559792592592594
001010000100,0.6787093583263841,0.7347691007706711,0.4128871936007362,0.7203985185185183
001010000101,0.6350314697961685,0.7125488651181887,0.34803003048161685,0.694500740740741
001010000110,0.6592528842263904,0.7282955539013279,0.38763452763162737,0.7002266666666667
001010000111,0.6157434136214336,0.6913016431410876,0.30682581034072237,0.6779911111111112
001010001000,0.5836709027141297,0.6513186585379088,0.23367502231126988,0.573288888888889
001010001001,0.5687696678671728,0.6492416512695978,0.21741785926397791,0.5709037037037038
001010001010,0.6074847376159248,0.6419633466243626,0.241651851533305,0.6068962962962962
001010001011,0.5828426317743631,0.6360136757969346,0.21543700539940933,0.5917096296296295
001010001100,0.6653660429531718,0.7078183894646531,0.36934062379049665,0.6933466666666668
001010001101,0.6675607563292071,0.6965787762240666,0.3590055832005371,0.6672296296296294
001010001110,0.6535688750294456,0.7162989939860614,0.3687145521950631,0.6999333333333335
001010001111,0.663213454257313,0.6945350978637076,0.3513046858723585,0.6836977777777777
001010010000,0.5950711499180809,0.6603067048942748,0.2537756529486099,0.6158222222222224
