DIDA id, DEO1, DEO2, RecA, EssA, DEO3, DEO4, RecB, EssB, Path,DE,DE Predicted
dd179,0.2386661955,0,0.5737,0,0.3076417875,0,0.1601,0,0,TD, TD (100%)
dd180,0.579414777,0,0.5737,0,0.0708886979,0,0.1601,0,0,TD, TD (100%)
dd181,0.0468110636,0,0.5737,0,0.2994690821,0,0.1601,0,0,TD, TD (100%)
dd182,0.579414777,0,0.5737,0,0.5932572299,0,0.1601,0,0,TD, TD (100%)
dd184,2,0,0.5737,0,0.4404036352,0,0.1601,0,0,TD, TD (100%)
dd185,0.7087140678,0,0.5737,0,0.5932572299,0,0.1601,0,0,TD, TD (100%)
dd187,0.579414777,0,0.5737,0,0.6999667917,0,0.1601,0,0,TD, TD (100%)
dd033,0.6277965539,0,0.4323,0,0.9820447664,0.9796777361,0.2732,0,1,CO, CO (100%)
dd034,0.6277965539,0,0.4323,0,0.9796777361,0.9796777361,0.2732,0,1,CO, CO (100%)
dd035,0.6277965539,0,0.4323,0,0.9796777361,0,0.2732,0,1,CO, CO (100%)
dd036,0.7346696899,0.6277965539,0.4323,0,0.9796777361,0,0.2732,0,1,CO, CO (100%)
dd124,0.7550072411,0,0.3388,0,2,0,0.1784,0,0,TD, TD (100%)
dd013,2,0,0.238,0,0.9335529964,0,0.786,1,0,CO, CO (100%)
dd162,2,0,0.1103,0,2,0.4523080987,0.2499,0,0,TD, TD (89%)
dd161,2,0,0.1103,0,2,2,0.2499,0,0,CO, TD (66%)
dd114,0.188792115,0,0.379,0,0.27263041,0,0.2665,1,1,TD, CO (99%)
dd075,0.6107296952,0.6107296952,0.0954,0,0.8887784823,0.8887784823,0.3277,1,0,TD, CO (100%)
dd082,2,0,0.0954,0,0.3865763192,0,0.3277,1,0,TD, CO (98%)
dd083,0.149766931,0,0.0954,0,0.4680857359,0,0.3277,1,0,TD, CO (86%)
dd121,2,0,0.8931,1,0.5635062155,0,0.3662,1,0,TD, CO (91%)
dd029,2,0.53719995,0.8931,1,0.5180017404,0,0.3662,1,0,CO, CO (81%)
dd030,2,0,0.8931,1,0.3626832815,0.3626832815,0.3662,1,0,CO, TD (92%)
dd145,0.2561497509,0,0.375,1,2,0,0.4388,0,0,TD, TD (94%)
dd146,0.556573225,0,0.375,1,0.7246954103,0,0.4388,0,0,TD, CO (57%)
dd172,0.3083303915,0,0.9378,1,2,0,0.2499,1,1,CO, CO (100%)
dd148,0.7965068127,0,0.7138,1,2,0,0.6812,1,0,TD, CO (84%)
dd219,2,0,0.7373,1,0.6627397801,0,0.6032,1,1,CO, CO (84%)
dd220,0.5584744759,0,0.7373,1,0.6627397801,0,0.6032,1,1,CO, TD (56%)
dd155,2,2,0.3388,0,0.6246156681,0,0.1702,0,0,TD, TD (100%)
dd194,0.3694374494,0,0.1321,0.3919,0.5932572299,0,0.1601,0,0,TD, TD (100%)
dd195,2,0,0.1321,0.3919,2,0,0.1601,0,0,TD, TD (100%)
dd196,2,0,0.1321,0.3919,0.5932572299,0,0.1601,0,0,TD, TD (100%)
dd197,0.3674418771,0,0.1321,0.3919,0.5932572299,0,0.1601,0,0,TD, TD (100%)
dd154,2,2,0.163,0,0.6536486313,0,0.203,0,0,TD, TD (51%)
dd136,2,0,0.2064,0,0.5518946392,0,0.1337,1,0,CO, CO (100%)
dd054,0.4601804049,0,0.3326,0,0.9455096837,0,0.3367,0,0,CO, CO (100%)
dd056,0.4601804049,0,0.3326,0,0.9183933332,0,0.3367,0,0,CO, CO (100%)
dd041,0.6973334179,0,0.5592,0,0.5340006828,0,0.1417,0,1,CO, TD (97%)
dd074,2,2,0.0954,0,2,0,0.3057,1,0,TD, CO (99%)
dd218,0.9373402847,0,0.5014,1,2,0,0.2063,0,0,CO, TD (96%)
dd051,0.3800701032,0,0.5419,0,0.4961201984,0,0.7304,0,0,TD, TD (74%)
dd052,0.3352088332,0,0.5419,0,0.4961201984,0.4961201984,0.7304,0,0,CO, TD (75%)
dd050,2,0,0.6912,1,2,0,0.2286,1,1,CO, CO (100%)
dd134,0.029187763,0,0.1804,0,0.8143982932,0,0.3194,0,0,CO, CO (70%)
dd037,0.8673212206,0,0.2097,0,0.9560109352,0,0.1039,1,1,CO, CO (100%)
dd222,0.8372210527,0,0.2135,0,2,0,0.2303,0,0,TD, TD (100%)
dd123,2,0,0.1027,0,0.962291551,0,0.6866,1,1,TD, CO (100%)
dd156,0.2291606492,0,0.1648,0,2,2,0.1702,0,0,TD, TD (100%)
dd032,0.7951698447,0,0.3515,1,0.6400689483,0,0.4172,0,1,CO, CO (100%)
dd019,2,0,0.1057,0,0.8036944779,0.8036944779,0.2499,1,0,CO, CO (100%)
dd020,2,2,0.1057,0,0.8036944779,0,0.2499,1,0,CO, CO (75%)
dd047,0.9090824568,0,0.5949,1,0.7517165643,0,0.2499,1,1,CO, CO (100%)
dd206,2,0,0.5056,1,2,0,0.1054,0,0,TD, TD (95%)
dd144,0.8750388485,0,0.3367,0,0.5691989927,0,0.2578,1,0,CO, CO (100%)
dd147,2,0,0.3367,0,0.839287805,0,0.2578,1,0,CO, CO (100%)
dd007,0.3177420107,0,0.1784,0,2,0,0.203,0,0,TD, TD (57%)
dd008,2,0,0.1784,0,0.321096552,0,0.203,0,0,TD, TD (69%)
dd009,0.3177420107,0,0.1784,0,0.1410022319,0,0.203,0,0,CO, TD (61%)
dd023,0.0549201486,0,0.5406,0,0.7111822574,0,0.1762,0,1,TD, CO (89%)
dd199,0.4815627683,0,0.1321,0.3919,0.2518835325,0,0.1832,0.3919,0,TD, TD (57%)
dd119,0.4944709453,0,0.3662,1,0.7231130221,0.7231130221,0.5854,0,0,TD, TD (77%)
dd160,0.8023154166,0,0.5373,0,0.9721794392,0.9721794392,0.9859,0,1,CO, CO (100%)
dd039,2,0,0.5373,0,0.6645878637,0,0.9859,0,1,CO, CO (100%)
dd158,0.8023154166,0,0.5373,0,0.9721794392,0,0.9859,0,1,CO, CO (100%)
dd048,0.8417487093,0,0.1114,0,0.9286288544,0,0.2578,1,0,CO, CO (100%)
dd066,0.4601804049,0,0.3326,0,0.9286288544,0,0.2578,1,0,CO, CO (100%)
dd002,0.0327636703,0,0.164,1,2,0,0.5056,1,1,TD, TD (98%)
dd003,0.2398426377,0,0.164,1,2,0,0.5056,1,1,TD, TD (100%)
dd027,0.132205429,0,0.4104,0,0.800032117,0,0.6197,0,0,TD, TD (77%)
dd026,0.7722167035,0,0.4104,0,0.800032117,0,0.6197,0,0,CO, CO (60%)
dd006,0.029187763,0,0.1804,0,0.7211235685,0.7211235685,0.203,0,0,CO, TD (77%)
dd024,2,2,0.4784,0,0.2623172474,0,0.1762,0,1,CO, TD (82%)
dd221,2,0,0.1103,0,2,0,0.1702,0,0,TD, TD (100%)
dd116,2,0,0.8746,1,0.419609921,0,0.535,1,0,TD, CO (79%)
